房源id,纬度,经度,房源名称,物业类型,物业费,建造年代,绿化率,所属商圈,二手房房源数,租房源数,均价,租金价格中位数
338161,31.876069,117.315771,康乐新村(瑶海),公寓,0.8元/㎡/月,2000年,20%(一般),三里街,11套,5套,12615,1500.0
828330,31.860906,117.483656,城南新村,公寓,1元/㎡/月,2012年,暂无数据,肥东县城,4套,18套,7364,850.0
337821,31.866817,117.276967,大众巷南小区,公寓,暂无数据,1996年,35%(一般),"安庆路,三孝口",82套,19套,24132,900.0
337682,31.905353,117.330944,德邦翠馨居,公寓,0.8元/㎡/月,2008年,41%(高),瑶海公园,27套,10套,11925,1800.0
338255,31.861598,117.194264,山湖新村,公寓,0.5元/㎡/月,2000年,31%(一般),长江西路,8套,11套,13455,1500.0
338104,31.865578,117.322423,丰大住宅,公寓,0.8元/㎡/月,2000年,10%(低),和平广场,30套,暂无数据,16919,暂无数据
337423,31.858144,117.308821,贵都花园,公寓,1.2元/㎡/月,2004年,40%(高),"南熏门桥,芜湖路,大钟楼",8套,5套,17464,3500.0
410527,31.858579,117.310255,水晶苑小区,公寓,1.19元/㎡/月,2006年,35%(一般),"南熏门桥,芜湖路,大钟楼",7套,1套,13034,nan
457425,31.886672,117.372066,海洲景秀世家(二期),公寓,0.6元/㎡/月,2007年,38%(一般),"瑶海万达广场,海洲景秀世家",84套,7套,12105,1500.0
337606,31.878558,117.348731,万福家园,公寓,1.3元/㎡/月,2007年,35%(一般),花冲公园,46套,6套,12113,1790.0
338296,31.860825,117.287898,黄梅戏宿舍,公寓,0.4元/㎡/月,2000年,10%(低),三孝口,14套,1套,28017,nan
338350,31.880103,117.336138,新苑小区,公寓,暂无数据,2010年,35%(一般),安徽大市场,5套,2套,11790,1550.0
792249,31.846917,117.354725,幸福花园,公寓,暂无数据,1998年,10%(低),合裕路,28套,暂无数据,10175,暂无数据
337474,31.87435,117.309836,秀珍大厦,公寓,1元/㎡/月,2006年,40%(高),胜利路,8套,10套,10022,790.0
337449,31.770129,117.236538,金都嘉园,公寓,0.55元/㎡/月,2007年,34%(一般),莲花路,13套,2套,13341,550.0
337540,31.893546,117.30648,银都苑,公寓,0.6元/㎡/月,2005年,32%(一般),火车站,33套,10套,12379,610.0
829111,31.865438,117.378562,静安新城南区,公寓,0.8元/㎡/月,2007年,42%(高),静安新城,24套,1套,10963,nan
338148,31.87586,117.349995,栈塘住宅小区,公寓,0.6元/㎡/月,2000年,33%(一般),七里站,16套,2套,10871,1500.0
337575,31.887971,117.262198,康居馨苑,公寓,1.2元/㎡/月,2006年,33%(一般),"北一环,亳州路",32套,1套,15243,1400.0
794832,31.885978,117.490861,状元府,公寓,0.5元/㎡/月,2007年,暂无数据,肥东县城,1套,1套,8258,900.0
879931,31.248457,117.318975,丰和东郡名城,公寓,1.2元/㎡/月,2017年,40%(高),庐江城区,48套,1套,8469,nan
926263,31.864008,117.273336,春天大厦,公寓,1.1元/㎡/月,暂无数据,暂无数据,"五里墩,安徽农业大学,三里庵",3套,10套,13396,4850.0
938289,31.782868,117.324731,和昌中央城邦(北区),公寓,1.42元/㎡/月,暂无数据,暂无数据,"葛大店,包河周边,包河工业园",44套,7套,17805,1800.0
943861,31.865452,117.316906,力天大厦,公寓,1元/㎡/月,暂无数据,暂无数据,和平广场,24套,6套,12623,1350.0
951293,31.265245,117.28062,苹果家园,公寓,暂无数据,暂无数据,暂无数据,庐江城区,暂无数据,暂无数据,8825,暂无数据
988947,31.833362,117.17502,蜀南庭苑(油墩社区),公寓,暂无数据,暂无数据,暂无数据,大蜀山,15套,5套,14465,940.0
993797,31.877229,117.21582,拓基兰宫墅,别墅,4.3元/㎡/月,2017年,43%(高),植物园,64套,暂无数据,19834,暂无数据
373262,31.857335,117.274282,白鹭苑,公寓,暂无数据,2000年,10%(低),"五里墩,安徽农业大学,三里庵",6套,1套,18883,1000.0
778194,31.992916,117.259979,半岛一号(南区),公寓,1.1元/㎡/月,2013年,40%(高),"力高共和城,北城世纪城",60套,3套,13028,nan
337870,31.890019,117.296125,绿都花园(庐阳),公寓,0.5元/㎡/月,1998年,36%(一般),"北一环,双岗",42套,14套,12497,650.0
608954,31.871087,117.316428,材运小区,公寓,0.3元/㎡/月,2002年,暂无数据,"三里街,明光路",18套,1套,12893,nan
337858,31.881431,117.296023,美菱新村,公寓,0.5元/㎡/月,2000年,30%(一般),"白水坝,北一环,双岗",11套,20套,11961,680.0
338054,31.82067,117.266872,晨风苑,公寓,1.1元/㎡/月,2000年,35%(一般),"姚公庙,南门换乘中心",6套,暂无数据,14948,暂无数据
399205,31.805062,117.212279,德信上湖名院,公寓,0.8元/㎡/月,2011年,52%(高),"芙蓉路,禹洲天境",57套,4套,17954,2250.0
801072,32.003702,117.2455,北城世纪城帝徽苑,公寓,1.44元/㎡/月,暂无数据,暂无数据,"力高共和城,北城世纪城",28套,11套,10846,1000.0
338022,31.831807,117.290094,东航卫岗小区,公寓,0.4元/㎡/月,2000年,40%(高),"东陈岗,中铁四局",27套,4套,14604,825.0
829398,31.892916,117.245815,森林丁香苑,公寓,1.4元/㎡/月,2010年,暂无数据,"大杨镇,四里河",暂无数据,17套,10745,750.0
338140,31.860639,117.353691,钢北新村,公寓,0.5元/㎡/月,2000年,30%(一般),"七里站,保利东郡",7套,2套,10005,nan
338273,31.790118,117.204396,书缘居,公寓,1.2元/㎡/月,2005年,40%(高),"港澳广场,芙蓉路",6套,暂无数据,15085,暂无数据
401305,31.730944,117.008192,观澜天下,别墅,3.9元/㎡/月,2009年,77.88%(高),紫蓬山,16套,暂无数据,18349,暂无数据
337856,31.885028,117.292805,濉溪新村,公寓,0.5元/㎡/月,2000年,35%(一般),"白水坝,北一环,双岗",11套,4套,10839,1100.0
337696,31.981981,117.335902,天元新城,公寓,0.9元/㎡/月,2009年,41%(高),三元开发区,3套,暂无数据,9187,暂无数据
338118,31.864958,117.328833,和平苑,公寓,0.7元/㎡/月,2000年,31%(一般),"大通路,曙光影院",29套,15套,13079,500.0
338030,31.850104,117.308317,香榭里花园,公寓,0.5元/㎡/月,2000年,40%(高),"合工大,马鞍山路,合家福",18套,4套,14166,500.0
337451,31.795582,117.207687,九溪江南溪竹园,公寓,0.78元/㎡/月,2008年,42%(高),"港澳广场,芙蓉路",40套,6套,14873,625.0
376871,31.855826,117.319658,聚贤小区,公寓,0.6元/㎡/月,2003年,35%(一般),裕丰花市,7套,暂无数据,13613,暂无数据
