房源id,纬度,经度,房源名称,物业类型,物业费,建造年代,绿化率,所属商圈,二手房房源数,租房源数,均价,租金价格中位数
338314,31.863114,117.279181,龚大塘小区,公寓,0.4元/㎡/月,1994年,20%(一般),三孝口,43套,3套,23972,800.0
338437,31.880671,117.432082,和顺东方花园,公寓,0.8元/㎡/月,2011年,48%(高),肥东新城,18套,3套,10422,1500.0
793777,32.006253,117.253833,北城世纪城鸿徽苑,公寓,1.28元/㎡/月,2017年,40%(高),"力高共和城,北城世纪城",137套,25套,11281,1000.0
829688,31.929915,117.378129,文忠苑,公寓,1元/㎡/月,暂无数据,26%(一般),陶冲湖,3套,8套,8766,500.0
376746,31.901034,117.286286,祥源上城国际风荷苑(一期),公寓,0.8元/㎡/月,2006年,35%(一般),杏林花园,87套,9套,13270,595.0
337963,31.856753,117.247588,金枫苑,公寓,0.8元/㎡/月,2000年,40%(高),"国防科技大学,长江西路,贵池路",36套,36套,17461,650.0
338277,31.792986,117.235117,怡缘小区,公寓,1.2元/㎡/月,2009年,40%(高),"徽园,明珠广场",9套,4套,14857,625.0
829104,31.881452,117.460622,景河花园,公寓,1.2元/㎡/月,2013年,暂无数据,肥东新城,39套,9套,9460,1400.0
337550,31.864323,117.242375,理想年代,公寓,1.1元/㎡/月,2007年,40%(高),"金牛路,省农机校,青阳北路",60套,8套,16508,990.0
399346,31.822145,117.372491,绿色港湾塞维利亚,别墅,暂无数据,2010年,60%(高),"巢湖路,五里庙,周谷堆",79套,1套,25185,nan
879944,31.727732,117.28487,旭辉御府(别墅),别墅,暂无数据,2014年,40%(高),高速时代广场,26套,暂无数据,23712,暂无数据
912669,31.886468,117.318747,中环国际广场,公寓,暂无数据,暂无数据,暂无数据,火车站,30套,5套,12880,2500.0
1001391,31.959167,117.264628,恒泰城品湖畔,公寓,1.25元/㎡/月,暂无数据,40%(高),阿奎利亚,64套,80套,11281,500.0
879881,31.718452,117.318606,万达未来领地,商住楼,0.9元/㎡/月,2016年,40%(高),"环湖CBD,万达文旅城",58套,170套,10318,1100.0
338501,31.869895,117.173113,山湖苑(西区),公寓,1元/㎡/月,2012年,35%(一般),大铺头,18套,6套,12384,1475.0
945131,31.888877,117.255796,四里河畔,公寓,1.2元/㎡/月,暂无数据,暂无数据,四里河,暂无数据,暂无数据,11667,暂无数据
828237,31.72323,117.28904,滨湖东方汇,商住楼,暂无数据,2016年,20%(一般),高速时代广场,62套,5套,10613,1300.0
337475,31.896784,117.31656,名景园,公寓,1.5元/㎡/月,2006年,35%(一般),火车站,77套,17套,9874,620.0
338105,31.871503,117.316696,群力新村,公寓,0.4元/㎡/月,2000年,23%(一般),三里街,37套,1套,13057,nan
337730,31.987994,117.258717,瑞龙花园,公寓,1元/㎡/月,2010年,40%(高),力高共和城,42套,暂无数据,10711,暂无数据
568996,31.859088,117.298862,商务厅职工宿舍,公寓,0.4元/㎡/月,2000年,40%(高),"南熏门桥,芜湖路,大钟楼",70套,4套,18756,1700.0
337514,31.768111,117.209301,翡翠花园文昌苑,公寓,0.46元/㎡/月,2007年,40%(高),"翡翠湖,大学城",20套,28套,15005,925.0
408158,31.262153,117.278574,世纪锦都,公寓,暂无数据,2016年,40%(高),庐江城区,56套,1套,9475,nan
473789,31.770704,117.226447,桃花社区,公寓,1元/㎡/月,2000年,15%(低),"大学城,明珠广场",21套,3套,12337,1230.0
399169,31.823143,117.208158,海岸星辰,公寓,1.2元/㎡/月,2011年,40%(高),科学大道,17套,4套,16510,1550.0
337623,31.837671,117.225195,海雨家园,公寓,0.56元/㎡/月,2007年,40%(高),"西客站,望江西路,黄潜望",18套,4套,16489,1500.0
616359,31.838986,117.283157,铁四局小区,公寓,暂无数据,暂无数据,暂无数据,"东陈岗,中铁四局",1套,暂无数据,14632,暂无数据
337921,31.868449,117.301413,团结新村,公寓,0.6元/㎡/月,2000年,40%(高),"淮河路步行街,四牌楼",50套,1套,17472,nan
337493,31.813263,117.220692,湖畔春天,公寓,1.1元/㎡/月,2007年,40%(高),"天鹅湖,合肥八中",40套,8套,25031,800.0
829673,31.844387,117.424993,文一名门东隅,公寓,1.4元/㎡/月,暂无数据,40%(高),肥东县城,50套,13套,10753,1090.0
458565,31.837164,117.416533,华盛大运城一期,公寓,1.2元/㎡/月,2014年,42%(高),肥东县城,84套,21套,11785,1350.0
338193,31.885888,117.317473,新城花园,公寓,1元/㎡/月,2010年,20%(一般),火车站,18套,暂无数据,11841,暂无数据
337420,31.856646,117.302643,星辰花园,公寓,1元/㎡/月,2006年,35%(一般),"南熏门桥,芜湖路,大钟楼",13套,5套,17142,1000.0
338596,31.894744,117.330044,瑶东新村,公寓,0.4元/㎡/月,2004年,20%(一般),瑶海公园,17套,4套,11148,1200.0
337763,31.864138,117.272477,锦江大厦,公寓,0.3元/㎡/月,2011年,40%(高),"五里墩,安徽农业大学,三里庵",26套,3套,16383,2800.0
375668,31.87153,117.242203,龙居山庄锦龙居,公寓,0.8元/㎡/月,2005年,41%(高),"金牛路,省农机校,凤凰城",34套,32套,15774,1350.0
808235,31.635857,117.921426,光盛紫御城,公寓,1.4元/㎡/月,暂无数据,40%(高),半汤,52套,暂无数据,8015,暂无数据
923163,31.864786,117.296633,欣都大厦,公寓,1.4元/㎡/月,暂无数据,25%(一般),"淮河路步行街,四牌楼",28套,2套,13798,2500.0
338081,31.853809,117.329927,隆岗新村,公寓,0.5元/㎡/月,2000年,26%(一般),"裕丰花市,曙光影院",19套,4套,10479,1375.0
405723,31.811741,117.317061,临环苑,公寓,0.8元/㎡/月,2000年,40%(高),"葛大店,包河周边,包河工业园",4套,暂无数据,14488,暂无数据
574336,31.894667,117.455562,斌锋御云府,公寓,1元/㎡/月,2014年,40%(高),肥东新城,40套,1套,10842,nan
471871,31.892656,117.433657,晨光花园(北区),公寓,0.6元/㎡/月,暂无数据,暂无数据,肥东新城,4套,7套,6265,690.0
829376,31.878581,117.449391,瑞景兰庭,公寓,暂无数据,2007年,暂无数据,肥东新城,21套,8套,9675,1300.0
829389,31.858239,117.479595,润和尚品,公寓,1元/㎡/月,暂无数据,40%(高),肥东县城,27套,11套,10010,1200.0
337749,31.734442,117.285584,书香门第(东苑),公寓,1.38元/㎡/月,2013年,56%(高),书香门第,95套,75套,26840,1300.0
338252,31.865927,117.213911,蜀苑新村,公寓,0.4元/㎡/月,1998年,36%(一般),"植物园,科学大道",17套,1套,16064,1600.0
338260,31.865667,117.185666,公交蜀山园,公寓,0.5元/㎡/月,2000年,31%(一般),"大蜀山,大铺头",20套,2套,12182,nan
338315,31.8368,117.245407,航鑫家苑,公寓,0.3元/㎡/月,2000年,20%(一般),"黄山路,望江西路,肉联厂",73套,29套,14952,1550.0
338370,31.864144,117.284641,外贸第一生活区,公寓,0.35元/㎡/月,2000年,15%(低),三孝口,153套,4套,30612,625.0
409006,31.895409,117.332017,华府竹丝苑南苑,公寓,0.5元/㎡/月,2007年,32%(一般),瑶海公园,21套,1套,16799,nan
337416,31.845011,117.311405,信达文景雅居,公寓,1.2元/㎡/月,2004年,42%(高),"合工大,马鞍山路,合家福",57套,5套,16164,599.0
480710,31.876338,117.309778,建设小区,公寓,1元/㎡/月,2000年,20%(一般),明光路,13套,12套,11484,500.0
337470,31.880057,117.350158,金盛家园,公寓,0.42元/㎡/月,2000年,30%(一般),"七里站,瑶海万达广场",31套,3套,11369,1450.0
338330,31.894126,117.281823,怡园小区,公寓,0.5元/㎡/月,2000年,15%(低),"四里河,海棠社区",6套,暂无数据,13426,暂无数据
337835,31.887935,117.307049,怡馨苑,公寓,0.8元/㎡/月,2004年,30%(一般),火车站,67套,18套,11813,600.0
494438,31.86795,117.292751,银成公寓,公寓,1元/㎡/月,2004年,暂无数据,"长江中路,四牌楼",112套,19套,10375,500.0
879905,31.856825,117.290788,市政小区,公寓,暂无数据,暂无数据,暂无数据,"南熏门桥,芜湖路,大钟楼",5套,1套,18075,1350.0
913310,31.866418,117.296497,梨花巷小区,公寓,暂无数据,暂无数据,暂无数据,"淮河路步行街,四牌楼",20套,20套,18458,500.0
943839,31.738849,117.291039,滨湖明珠(东区),公寓,1.2元/㎡/月,暂无数据,暂无数据,"棠溪人家,四十六中",138套,46套,24784,3200.0
1048088,31.885596,117.315206,新安罗马花园,公寓,暂无数据,2002年,暂无数据,火车站,34套,3套,13418,1800.0
829066,32.011116,117.277028,金色假日,公寓,1.1元/㎡/月,2013年,45%(高),"力高共和城,北城世纪城",44套,1套,9181,nan
338401,31.883625,117.257936,四里河小区,公寓,暂无数据,2011年,20%(一般),四里河,暂无数据,暂无数据,10506,暂无数据
338001,31.843008,117.280422,包河金安花园,公寓,0.6元/㎡/月,2000年,40%(高),"东陈岗,中铁四局",24套,18套,13762,1600.0
828228,31.861007,117.480179,斌锋未来城,公寓,1.44元/㎡/月,暂无数据,40%(高),肥东县城,24套,暂无数据,10778,暂无数据
409452,31.88283,117.348864,苹果公寓,公寓,1.1元/㎡/月,2004年,20%(一般),瑶海万达广场,19套,21套,10007,1400.0
337734,31.781627,117.207329,大学城博雅居,公寓,0.5元/㎡/月,2008年,41%(高),"翡翠湖,大学城",43套,1套,18813,nan
411116,31.875179,117.22109,森林橙堡,商住楼,1.2元/㎡/月,2010年,40%(高),"十里庙,凤凰城",55套,11套,8056,1400.0
337679,31.893405,117.27237,枫林雅苑,公寓,1.1元/㎡/月,2008年,30%(一般),"四里河,海棠社区",19套,4套,14622,650.0
829675,31.907984,117.240163,文一名门湖畔(东区),公寓,1.5元/㎡/月,2016年,35%(一般),"大杨镇,四里河",12套,2套,19805,1500.0
378331,31.910462,117.3196,金海花园,公寓,1元/㎡/月,2012年,37%(一般),安徽大市场,74套,2套,12446,nan
829749,31.88228,117.298852,阳光尚景苑,公寓,1元/㎡/月,2016年,20%(一般),"白水坝,北一环,双岗",30套,9套,16165,600.0
338062,31.870909,117.318038,锦华苑小区,公寓,0.6元/㎡/月,2005年,10%(低),三里街,49套,2套,15324,nan
395680,31.855175,117.317971,银马公寓,公寓,1.1元/㎡/月,2011年,40%(高),裕丰花市,78套,8套,17225,1800.0
337512,31.886182,117.262132,银河湾花园,公寓,1.2元/㎡/月,2006年,40%(高),"亳州路,北一环",29套,7套,15827,850.0
399189,31.943262,117.279139,云顶雅苑,公寓,1.2元/㎡/月,2012年,40%(高),菱湖公园,8套,1套,10183,nan
797775,31.909105,117.240232,中国铁建国际城桂园,公寓,1.3元/㎡/月,2011年,40%(高),"大杨镇,四里河",59套,1套,18482,2300.0
338382,31.827049,117.312481,珠光南苑(西区),公寓,0.4元/㎡/月,2009年,41%(高),"马鞍山路,合家福",40套,24套,14119,670.0
913011,31.876436,117.261712,翠竹园西村,公寓,0.9元/㎡/月,暂无数据,暂无数据,"琥珀山庄,清溪路,三里庵",12套,24套,15600,650.0
916696,31.853226,117.291548,世纪云顶,公寓,1.2元/㎡/月,暂无数据,暂无数据,"省人大,大钟楼,南熏门桥",7套,8套,14379,3000.0
337803,31.76813,117.324711,滨水湾小区,公寓,0.6元/㎡/月,1992年,30%(一般),"骆岗,包河工业园",1套,暂无数据,12093,暂无数据
338383,31.811073,117.30233,民航家园,公寓,1.2元/㎡/月,2010年,35%(一般),"望湖城,凌大塘,高铁南站",30套,3套,20765,600.0
399392,31.867283,117.236255,辰龙紫荆广场,公寓,1.2元/㎡/月,2013年,30%(一般),"金牛路,省农机校,凤凰城",39套,57套,14382,1500.0
337645,31.867482,117.363806,东城世家,公寓,0.44元/㎡/月,2007年,40%(高),保利东郡,35套,3套,12476,nan
612607,31.824409,117.326293,淝河安百苑,公寓,0.9元/㎡/月,暂无数据,暂无数据,"巢湖路,五里庙,周谷堆",4套,5套,10522,nan
399188,31.805935,117.166522,好运长安,公寓,1.15元/㎡/月,2011年,43%(高),肥西县城,57套,16套,12961,1200.0
596673,31.907704,117.267941,天然轩小区,公寓,0.6元/㎡/月,2008年,30%(一般),"大杨镇,四里河",95套,暂无数据,11836,暂无数据
337346,31.828536,117.22717,恒润花园,公寓,1.1元/㎡/月,2006年,40%(高),市政务办公区,25套,17套,22793,825.0
337501,31.884711,117.325426,香江国际大厦,公寓,1.1元/㎡/月,2007年,40%(高),"瑶海公园 ,火车站",32套,8套,10069,1500.0
337788,31.817089,117.255087,祥源汇博名座,公寓,1.2元/㎡/月,2011年,43%(高),天鹅湖,23套,7套,17913,900.0
405184,31.611088,117.886944,徽商御花园,公寓,0.7元/㎡/月,2012年,33%(一般),万达,53套,1套,11921,1200.0
379370,31.866516,117.322378,星海苑,公寓,0.6元/㎡/月,2000年,20%(一般),和平广场,36套,1套,14509,1900.0
378209,31.879451,117.218106,金凯花园,别墅,2元/㎡/月,2006年,50%(高),植物园,22套,暂无数据,28410,暂无数据
338009,31.834438,117.273162,金江苑,公寓,0.6元/㎡/月,2010年,35%(一般),"东陈岗,中铁四局",45套,16套,13767,800.0
499273,31.861669,117.318042,矿机二村生活小区,公寓,暂无数据,1986年,暂无数据,裕丰花市,63套,1套,15806,nan
879865,31.840082,117.293393,宝利丰广场(商住楼),商住楼,暂无数据,2016年,30%(一般),"东陈岗,宁国路",81套,47套,13391,1700.0
879904,31.851213,117.141366,圣联时代广场,商住楼,1元/㎡/月,2017年,20%(一般),"蜀西湖,客运西站",41套,14套,9495,1700.0
879956,31.861121,117.155331,大富山庄(别墅),别墅,暂无数据,2015年,40%(高),"四季花海,大蜀山",32套,2套,16655,nan
924014,31.87534,117.285474,徽商国际大厦,公寓,1.5元/㎡/月,暂无数据,33%(一般),三孝口,13套,1套,12594,nan
926262,31.874038,117.239583,芳香家园,公寓,1.1元/㎡/月,2017年,暂无数据,"金牛路,省农机校,凤凰城",1套,69套,13012,800.0
944498,31.911209,117.28541,幸福家园,公寓,暂无数据,暂无数据,暂无数据,菱湖公园,1套,暂无数据,10645,暂无数据
951325,31.266008,117.28062,曙光新村,公寓,暂无数据,暂无数据,暂无数据,庐江城区,暂无数据,1套,10567,nan
951321,31.262668,117.307696,幸福家园,公寓,0.6元/㎡/月,暂无数据,暂无数据,庐江城区,6套,1套,6937,nan
422890,31.875205,117.349834,庐东公寓,公寓,0.8元/㎡/月,2005年,40%(高),七里站,6套,暂无数据,9383,暂无数据
337635,31.896133,117.275998,北美印象雅苑,公寓,1.1元/㎡/月,2008年,43%(高),海棠社区,84套,17套,15446,1500.0
407176,31.901706,117.241344,摩尔公寓,商住楼,暂无数据,暂无数据,23%(一般),"大杨镇,四里河",83套,暂无数据,10539,暂无数据
337841,31.885336,117.309018,侨康苑,公寓,0.6元/㎡/月,2009年,22%(一般),火车站,24套,3套,12491,600.0
337787,31.885058,117.389703,瑞泰江南,公寓,0.6元/㎡/月,2011年,48%(高),"临泉东路,恒大城",66套,3套,12235,1500.0
338122,31.859354,117.333304,纺织二村,公寓,暂无数据,2000年,30%(一般),曙光影院,55套,5套,12324,1200.0
337648,31.87926,117.340107,芳邻家园,公寓,0.5元/㎡/月,2007年,30%(一般),安徽大市场,92套,10套,13348,1500.0
337837,31.886946,117.309631,方圆华庭,公寓,暂无数据,2005年,22%(一般),火车站,34套,13套,11647,750.0
466021,31.800124,117.321994,盛景融城,公寓,1.08元/㎡/月,2011年,41%(高),"葛大店,包河周边,包河工业园",55套,4套,16604,1750.0
728680,31.863975,117.216315,国税局瑞园小区,公寓,1.2元/㎡/月,暂无数据,30%(一般),"科学大道,大铺头",15套,10套,15232,830.0
337701,31.772739,117.238684,国轩名门,公寓,1元/㎡/月,2007年,37%(一般),莲花路,38套,2套,11953,1250.0
337786,31.880256,117.387843,河畔雅居,公寓,0.8元/㎡/月,2000年,46%(高),"大通路,曙光影院",58套,3套,11589,515.0
401243,31.730785,117.174303,沃顿花园,公寓,1.2元/㎡/月,2013年,40%(高),肥西县城,35套,9套,14970,1700.0
337879,31.854957,117.301508,新艺苑,公寓,0.5元/㎡/月,2000年,30%(一般),"南熏门桥,芜湖路,大钟楼",30套,10套,18388,660.0
808189,31.624656,117.860584,建苑小区,公寓,0.5元/㎡/月,2009年,暂无数据,北门,1套,暂无数据,8500,暂无数据
338153,31.874742,117.314921,怡康园,公寓,1.5元/㎡/月,2000年,24%(一般),"花冲公园,元一时代广场",22套,14套,12689,675.0
943859,31.795962,117.211743,港澳花园(紫荆苑),公寓,0.5元/㎡/月,2006年,42%(高),"禹洲天境,港澳广场",23套,9套,16421,800.0
337993,31.850183,117.221277,环东小区(南区),公寓,1.1元/㎡/月,2000年,40%(高),"十里庙,长江西路,贵池路",暂无数据,13套,15432,800.0
337598,31.899539,117.281521,君尚金谷园,公寓,1.2元/㎡/月,2007年,35%(一般),海棠社区,70套,暂无数据,16387,暂无数据
338032,31.832641,117.303152,绿苑小区,公寓,0.2元/㎡/月,2000年,27%(一般),"宁国路,太宁路口,卫岗",10套,1套,13196,nan
566145,31.736744,117.282271,春晖园,公寓,1元/㎡/月,2014年,40%(高),"书香门第,四十六中",4套,71套,13750,1400.0
337360,31.863011,117.2392,凤凰城家家景园(一期),公寓,1.1元/㎡/月,2004年,45%(高),"金牛路,省农机校,凤凰城",109套,35套,15558,760.0
828851,31.877695,117.290691,合工大东院,公寓,0.46元/㎡/月,1986年,30%(一般),"逍遥津,三孝口",21套,13套,18461,500.0
337769,31.851179,117.271358,万象新天,公寓,0.95元/㎡/月,2008年,31%(一般),"西园新村,安医附院,安徽大学",47套,10套,23268,1800.0
337991,31.841335,117.24061,红鑫新村,公寓,0.5元/㎡/月,2000年,40%(高),"黄山路,望江西路,肉联厂",23套,11套,17080,1325.0
337938,31.875696,117.272829,琥珀东村,公寓,0.5元/㎡/月,2000年,35%(一般),"琥珀山庄,清溪路,三里庵",50套,7套,17799,700.0
828919,31.879262,117.382859,琥珀名城茗园,公寓,1.2元/㎡/月,2010年,40%(高),"龙岗,琥珀名城",71套,1套,13649,2000.0
338613,31.856497,117.323597,华泰小区,公寓,暂无数据,2000年,20%(一般),裕丰花市,41套,2套,13951,1400.0
337709,31.846584,117.233948,西环中心广场(南区),公寓,1.38元/㎡/月,2012年,40%(高),"黄山路,1912商业街,黄潜望",71套,74套,17494,990.0
337369,31.865774,117.242507,颐和花园庐阳佳苑,公寓,0.57元/㎡/月,2008年,36%(一般),"金牛路,省农机校,青阳北路",96套,10套,18106,1000.0
337830,31.892196,117.304695,景泰苑,公寓,0.7元/㎡/月,2005年,30%(一般),火车站,41套,8套,11833,600.0
337471,31.880892,117.347603,璟泰赢家广场,公寓,1.42元/㎡/月,2005年,41%(高),"七里站,瑶海万达广场",33套,10套,11453,2000.0
829783,31.902534,117.292798,源祥广场,公寓,1.3元/㎡/月,2015年,37%(一般),杏林花园,30套,10套,13270,500.0
338471,31.717317,117.25345,临湖社区吉园,公寓,0.8元/㎡/月,2008年,36%(一般),临湖,85套,12套,10309,790.0
926264,31.847655,117.235994,西环中心广场(北区),公寓,1.38元/㎡/月,2011年,40%(高),"黄山路,1912商业街,黄潜望",34套,49套,15252,800.0
943878,31.862397,117.191494,幸福金色湖畔,公寓,1.4元/㎡/月,暂无数据,38.4%(一般),长江西路,6套,38套,17279,660.0
828065,31.864315,117.251951,三十八所宿舍,公寓,0.4元/㎡/月,暂无数据,40%(高),"金牛路,省农机校,青阳北路",52套,7套,16498,760.0
615106,31.836291,117.225,百合花园,公寓,0.3元/㎡/月,2000年,30%(一般),"西客站,望江西路,黄潜望",15套,10套,14766,700.0
337931,31.898641,117.284939,龙兴花园,公寓,0.45元/㎡/月,2000年,35%(一般),"海棠社区,杏林花园",8套,5套,13768,2300.0
378693,31.905006,117.332718,隆昊昊博园,公寓,1.1元/㎡/月,2011年,41%(高),"家天下,瑶海公园",141套,37套,13244,630.0
513581,31.824211,117.243142,绿地国际花都玫瑰苑,公寓,1.1元/㎡/月,2005年,46%(高),"天鹅湖,市政务办公区",43套,12套,21421,780.0
338041,31.821897,117.288617,东航银燕小区,公寓,0.6元/㎡/月,2000年,35%(一般),"东陈岗,中铁四局",43套,暂无数据,13594,暂无数据
446671,31.852347,117.283455,省人大宿舍,公寓,暂无数据,1996年,20%(一般),"省人大,大钟楼,南熏门桥",24套,1套,18058,nan
337826,31.905799,117.296179,丰大苑,公寓,0.6元/㎡/月,2001年,36%(一般),"菱湖公园,双凤庐阳工业园",38套,3套,11029,1900.0
337860,31.873293,117.299854,公园新村,公寓,0.5元/㎡/月,2000年,40%(高),"逍遥津,四牌楼",43套,2套,15417,800.0
399229,31.88562,117.3065,构峰源公馆,公寓,0.9元/㎡/月,2012年,35%(一般),明光路,56套,4套,12347,2000.0
337367,31.856617,117.266334,兴业苑,公寓,1.15元/㎡/月,2005年,40%(高),"五里墩,安徽农业大学,安徽大学",7套,暂无数据,27593,暂无数据
375686,31.852109,117.245011,液压件厂宿舍,公寓,暂无数据,1998年,20%(一般),"国防科技大学,长江西路,贵池路",69套,4套,20095,1140.0
337495,31.786278,117.218327,银都香水郡,公寓,1.1元/㎡/月,2011年,47%(高),中环城,49套,10套,18696,880.0
802365,31.827115,117.489235,锦绣花园(肥东),公寓,0.6元/㎡/月,暂无数据,41%(高),肥东县城,71套,8套,7898,1200.0
338332,31.839647,117.294341,景治园,公寓,0.3元/㎡/月,2000年,30%(一般),"东陈岗,中铁四局",36套,14套,14810,630.0
338221,31.86655,117.213083,玉兰新村,公寓,0.4元/㎡/月,2005年,31%(一般),"科学大道,植物园",13套,16套,13553,645.0
829119,31.795218,117.209802,九溪江南南荷园,公寓,0.78元/㎡/月,2008年,35%(一般),"港澳广场,芙蓉路",28套,3套,16843,690.0
338313,31.868988,117.335399,园林都市,公寓,0.6元/㎡/月,2008年,30%(一般),铜陵路,38套,8套,12893,2200.0
337543,31.860648,117.316963,正创鸣香苑,公寓,1元/㎡/月,2008年,45%(高),裕丰花市,56套,5套,15187,3374.5
412847,31.725416,117.160429,李湾小区(一期),公寓,0.6元/㎡/月,暂无数据,暂无数据,肥西县城,5套,5套,7194,1500.0
399211,31.790167,117.270064,紫金山庄,公寓,0.6元/㎡/月,2012年,43%(高),南艳湖,38套,1套,15350,nan
879968,31.839087,117.137053,祥源城(别墅),别墅,暂无数据,2016年,35%(一般),"方兴大道,蜀西湖",17套,2套,18866,1675.0
944261,31.754419,117.31539,滨湖瑞园(北区),公寓,0.4元/㎡/月,2014年,40%(高),"万科蓝山,寿春中学",6套,1套,10258,nan
337376,31.896417,117.291673,北都花园,公寓,0.7元/㎡/月,2003年,35%(一般),"海棠社区,杏林花园",21套,暂无数据,12237,暂无数据
410014,31.751916,117.311931,滨湖康园南区,公寓,0.75元/㎡/月,2011年,36%(一般),"万科蓝山,寿春中学",17套,2套,11505,nan
337957,31.85134,117.250496,名君家园,公寓,0.6元/㎡/月,2000年,35%(一般),"国防科技大学,长江西路,贵池路",11套,1套,17804,900.0
337664,31.978876,117.262432,力高共和城(东区),公寓,1.2元/㎡/月,2011年,43.6%(高),力高共和城,147套,10套,11833,1100.0
786412,31.887718,117.48827,东方新城,公寓,暂无数据,暂无数据,暂无数据,肥东县城,18套,6套,10582,1000.0
338377,31.830517,117.282212,曙宏南苑,公寓,1元/㎡/月,2005年,30%(一般),"东陈岗,中铁四局",57套,13套,12787,1150.0
338538,31.864331,117.290193,合肥市政府宿舍大院,公寓,0.5元/㎡/月,2000年,20%(一般),"逍遥津,三孝口",114套,3套,27470,665.0
828915,31.617978,117.875317,湖畔名郡,公寓,1元/㎡/月,2012年,32%(一般),北门,33套,暂无数据,11460,暂无数据
338571,31.831752,117.296436,卫岗电信小区,公寓,0.5元/㎡/月,2003年,20%(一般),"宁国路,太宁路口,卫岗",39套,2套,12212,600.0
576156,31.911839,117.280871,梧桐嘉园,公寓,0.6元/㎡/月,2009年,40%(高),菱湖公园,25套,暂无数据,11926,暂无数据
338563,31.907103,117.333057,香江生态名郡,公寓,1元/㎡/月,2010年,30%(一般),"七里塘,家天下,生态公园",68套,16套,11165,1275.0
337904,31.898462,117.287865,祥源上城国际丁香苑,公寓,1.1元/㎡/月,2000年,40%(高),杏林花园,101套,7套,16868,2300.0
338095,31.80825,117.243696,嘉和苑(南区),公寓,0.62元/㎡/月,2000年,32%(一般),"天鹅湖,十五里河",14套,31套,18964,800.0
521750,31.897758,117.473207,星光嘉苑,公寓,0.5元/㎡/月,暂无数据,暂无数据,肥东县城,6套,12套,8976,1400.0
401160,31.891187,117.44708,锦源春天,公寓,1.2元/㎡/月,2012年,51%(高),肥东新城,66套,1套,10860,1500.0
337580,31.884136,117.301037,锦怡家园,公寓,1.1元/㎡/月,2006年,30%(一般),元一时代广场,9套,21套,13642,560.0
338542,31.887704,117.447264,聚龙阳光都市花园,公寓,0.3元/㎡/月,2005年,31%(一般),肥东新城,50套,5套,9080,1500.0
805457,31.897831,117.483336,福泉花园,公寓,0.3元/㎡/月,暂无数据,暂无数据,肥东县城,10套,暂无数据,8431,暂无数据
944266,31.894653,117.264324,华润橡树湾(三期),公寓,1.44元/㎡/月,2013年,40%(高),海棠社区,92套,15套,24065,1350.0
1001389,31.852955,117.254805,通和易居同辉(北苑),公寓,1.1元/㎡/月,2012年,46%(高),"国防科技大学,长江西路,贵池路",127套,38套,25704,1600.0
337887,31.854867,117.289358,青年一村,公寓,0.4元/㎡/月,2000年,40%(高),"南熏门桥,芜湖路,大钟楼",40套,17套,15248,1500.0
459553,31.870942,117.286563,民政厅大院,公寓,暂无数据,暂无数据,暂无数据,"城隍庙,三孝口",50套,1套,21842,nan
799453,31.895431,117.426172,京冠紫玉华府,公寓,0.9元/㎡/月,暂无数据,44%(高),肥东新城,101套,26套,11361,700.0
337886,31.85763,117.284456,银河小区,公寓,0.6元/㎡/月,2000年,40%(高),"南熏门桥,芜湖路,大钟楼",11套,2套,18545,2200.0
829117,31.795984,117.207588,九溪江南九堤园,公寓,0.78元/㎡/月,2008年,35%(一般),"港澳广场,芙蓉路",42套,7套,14415,780.0
401191,31.712576,117.15957,科创和谐盛世,公寓,1.2元/㎡/月,2017年,42%(高),肥西县城,131套,1套,13612,1650.0
379490,31.879297,117.252333,黎阳嘉苑,公寓,1元/㎡/月,2010年,40%(高),"金牛路,清溪路,青阳北路",80套,29套,15037,699.5
879947,31.802858,117.204054,禹洲华侨城三期荷园(北区),公寓,1.2元/㎡/月,2010年,41%(高),肥西县城,194套,31套,16967,2150.0
396529,31.815063,117.290134,清和园,公寓,0.8元/㎡/月,2000年,15%(低),"姚公庙,南门换乘中心",5套,1套,18046,nan
337911,31.89227,117.29106,钢铁新村,公寓,0.5元/㎡/月,2000年,35%(一般),双岗,24套,16套,10991,850.0
337553,31.880633,117.262222,水晶苑,公寓,1.2元/㎡/月,2006年,35%(一般),亳州路,33套,2套,20912,1350.0
338143,31.876715,117.349071,天使苑,公寓,0.5元/㎡/月,2000年,35%(一般),"花冲公园,七里站",49套,7套,11672,1400.0
654077,31.886693,117.467703,和顺雅苑,公寓,0.3元/㎡/月,2009年,48%(高),肥东新城,7套,暂无数据,10090,暂无数据
337843,31.888912,117.314396,红星家园,公寓,0.6元/㎡/月,1998年,20%(一般),火车站,43套,1套,12847,600.0
337476,31.894325,117.322573,香江国际佳元,公寓,0.6元/㎡/月,2006年,40%(高),"瑶海公园 ,火车站",66套,42套,11344,1250.0
793768,32.017919,117.252689,北城世纪城吉徽苑,公寓,1.2元/㎡/月,2014年,暂无数据,"力高共和城,北城世纪城",226套,27套,11275,1050.0
338201,31.89624,117.317412,瑶海南村,公寓,暂无数据,2000年,30%(一般),火车站,14套,1套,10947,800.0
401181,31.74233,117.183234,金云国际,公寓,0.5元/㎡/月,2014年,41%(高),肥西县城,95套,4套,13619,1700.0
399293,31.882134,117.368851,静安新天地,公寓,1.2元/㎡/月,2012年,48%(高),静安新城,102套,14套,12488,1500.0
